date,category,name,type,scope_or_location,typical_max_temp_C,typical_min_temp_C,typical_rain_mm,weather_basis,impact_on_supply_chain,notes,source_links
2023-01-01,school_university,"Start of primary & secondary school academic year (approx.)","Academic session start","Nationwide",25.4,12.7,7.7,"Dhaka Jan climate normals","School-related demand (uniforms, books, transport) starts ramping up.","Academic year in Bangladesh generally runs Jan–Dec; exact dates should be confirmed from DPE 2023 calendar.","https://dpe.gov.bd/|https://www.unesco.org/en/education/bangladesh"
2023-01-13,cultural_event,"Bishwa Ijtema 2023 – Phase 1 (13–15 Jan)","Mass religious congregation (Tablighi Jamaat)","Tongi near Dhaka",25.4,12.7,7.7,"Dhaka Jan climate normals","Huge temporary population inflow; heavy pressure on roads and public transport; strong demand for food, water, sanitation and informal trade.","Event spans 3 days; treat as event window in models rather than single day.","https://www.thedailystar.net/tags/biswa-ijtema"
2023-01-20,cultural_event,"Bishwa Ijtema 2023 – Phase 2 (20–22 Jan)","Mass religious congregation","Tongi near Dhaka",25.4,12.7,7.7,"Dhaka Jan climate normals","Similar logistical pattern to Phase 1: congestion, increased FMCG demand, temporary stalls.","Use as second event window close to Dhaka markets.","https://www.thedailystar.net/tags/biswa-ijtema"
2023-02-14,cultural_event,"Pohela Falgun & Valentine's Day","Cultural festival","Urban centres (esp. Dhaka)",28.1,15.5,28.9,"Dhaka Feb climate normals","High footfall in parks, campuses, restaurants; strong demand for flowers, gifts, fashion, F&B.","Good candidate for positive demand shock in urban FMCG & services.","https://www.thedailystar.net/news/bangladesh/news/pohela-falgun-2023|https://calendarific.com/holidays/2023/bd"
2023-02-21,national_holiday,"Language Martyrs' Day / International Mother Language Day","Government/National holiday","Nationwide",28.1,15.5,28.9,"Dhaka Feb climate normals","Processions and official ceremonies; government offices closed; minor disruption in logistics, especially in Dhaka.","Can model as national_holiday dummy; demand effects depend on sector.","https://www.officeholidays.com/countries/bangladesh/2023|https://www.timeanddate.com/holidays/bangladesh/2023"
2023-03-08,religious_holiday,"Shab-e-Barat","Government holiday","Nationwide",32.5,20.4,65.8,"Dhaka Mar climate normals","Night prayers and visits to cemeteries; some businesses adjust hours; next-morning activity may be reduced.","Mainly timing effect on working hours and urban mobility.","https://calendarific.com/holiday/bangladesh/shab-e-barat|https://www.timeanddate.com/holidays/bangladesh/shab-e-barat"
2023-03-17,national_holiday,"Sheikh Mujibur Rahman's Birthday & National Children’s Day","Government/National holiday","Nationwide",32.5,20.4,65.8,"Dhaka Mar climate normals","Government offices closed; ceremonies and gatherings; light impact on private-sector logistics.","Include as national_holiday dummy.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-03-23,religious_period,"Start of Ramadan 1444 (approx.)","Religious fasting month","Nationwide",32.5,20.4,65.8,"Dhaka Mar climate normals","Shift of consumption to evening/night (iftar, sehri); strong demand for food, drinks, cooking ingredients; daytime productivity may drop.","Model as month-long behavioural regime change rather than single-day event.","https://www.islamic-relief.org.uk/resources/islamic-calendar/2023-calendar/"
2023-03-26,national_holiday,"Independence and National Day","Government/National holiday","Nationwide",32.5,20.4,65.8,"Dhaka Mar climate normals","Large rallies and parades; government offices closed; urban congestion in Dhaka; moderate logistics disruption.","Important national_holiday dummy with possible boost in FMCG demand.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-04-14,cultural_holiday,"Bengali New Year (Pohela Boishakh)","Government holiday / Cultural new year","Nationwide (strongest in cities)",33.7,23.6,156.0,"Dhaka Apr climate normals","One of the biggest cultural festivals; very high spending on clothes, food, drinks, entertainment; streets very crowded.","Strong positive demand shock in retail; possible delivery delays in dense urban cores.","https://www.timeanddate.com/holidays/bangladesh/pohela-boishakh|https://www.officeholidays.com/countries/bangladesh/2023"
2023-04-19,religious_holiday,"Shab-e-Qadr (Laylat al-Qadr)","Government holiday","Nationwide",33.7,23.6,156.0,"Dhaka Apr climate normals","Night-long prayers; working hours may be affected; higher late-evening mobility around mosques.","Treat as timing effect; may amplify late-Ramadan shopping.","https://www.timeanddate.com/holidays/bangladesh/shab-e-qadr"
2023-04-21,religious_holiday,"Jumatul Bidah (last Friday of Ramadan)","National holiday","Nationwide",33.7,23.6,156.0,"Dhaka Apr climate normals","Crowded mosques, peak pre-Eid shopping; high traffic; some offices close or operate reduced hours.","Use as pre-Eid peak demand marker.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-04-22,religious_holiday,"Eid ul-Fitr","National holiday","Nationwide",33.7,23.6,156.0,"Dhaka Apr climate normals","Major exodus from cities to villages before Eid; on the day itself most formal commerce pauses; pre-Eid days have extremely high demand.","Model both Eid day and the preceding travel window; strong transport congestion and mode shifts.","https://calendarific.com/holiday/bangladesh/eid-ul-fitr|https://www.officeholidays.com/countries/bangladesh/2023"
2023-04-23,religious_holiday,"Eid ul-Fitr Holiday (2nd day)","National holiday","Nationwide",33.7,23.6,156.0,"Dhaka Apr climate normals","Many workers still away; urban retail partially closed; inter-district bus and rail still packed.","Part of Eid holiday block; treat together with 22 Apr.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-05-01,national_holiday,"Labour Day / May Day","Government/National holiday","Nationwide",32.9,24.5,339.0,"Dhaka May climate normals","Rallies and union events; some factories and offices closed; start of heavy pre-monsoon/monsoon rain risks.","Combine with early-monsoon disruptions on construction and road logistics.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-05-04,religious_holiday,"Buddha Purnima","National holiday","Nationwide (strongest in Buddhist communities)",32.9,24.5,339.0,"Dhaka May climate normals","Localised temple gatherings; some local businesses close; small but visible local demand shifts.","More relevant in Chattogram and hill districts; treat as regional dummy if you have geo granularity.","https://calendarific.com/holidays/2023/bd|https://www.officeholidays.com/countries/bangladesh/2023"
2023-06-27,religious_holiday,"Eid-ul-Adha Holiday (day before Eid)","National holiday","Nationwide",32.1,26.1,340.0,"Dhaka Jun climate normals","Livestock trading at peak; heavy inter-city travel; logistics and cold-chain capacity under pressure; monsoon rains can cause flooding.","Include full Eid-ul-Adha window (27–29 Jun) as contiguous shock period.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-06-28,religious_holiday,"Eid-ul-Adha","National holiday","Nationwide",32.1,26.1,340.0,"Dhaka Jun climate normals","Major meat consumption and distribution; high demand for refrigeration and electricity; many shops closed except essentials.","Important for perishable supply chains (meat, ice, cold storage).","https://time.astrosage.com/holidays/bangladesh/eid-al-adha?year=2023|https://calendarific.com/holiday/bangladesh/eid-ul-adha"
2023-06-29,religious_holiday,"Eid-ul-Adha Holiday (2nd day)","National holiday","Nationwide",32.1,26.1,340.0,"Dhaka Jun climate normals","Continued family visits; many businesses still closed or partially open; ongoing transport load.","Treat 27–29 Jun as a single Eid-ul-Adha block in dummy coding.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-07-01,bank_holiday,"Bank Holiday (start of financial half-year)","Bank holiday","Nationwide",31.4,26.2,373.0,"Dhaka Jul climate normals","Banks closed for internal closing; can delay payments to suppliers and payroll; monsoon rains may exacerbate transport delays.","Affects financial flows rather than physical supply, but still relevant for invoice timing.","https://www.timeanddate.com/holidays/bangladesh/bank-holiday"
2023-07-29,religious_holiday,"Ashura (10 Muharram)","National holiday","Nationwide",31.4,26.2,373.0,"Dhaka Jul climate normals","Processions and gatherings; some roads temporarily blocked; heavy rain risk during monsoon.","Localised congestion; treat as one-day dummy in monsoon season.","https://calendarific.com/holiday/bangladesh/ashura|https://www.officeholidays.com/countries/bangladesh/2023"
2023-08-05,weather_event,"Severe monsoon rains and landslides Aug 2023 (approx. 5–20 Aug)","Extreme weather","Chattogram division & south-east",31.6,26.3,316.5,"Dhaka Aug climate normals used as proxy","Floods and landslides blocked roads and damaged infrastructure; export logistics via Chattogram port disrupted; local retail shortages possible.","Use a regional weather-shock dummy for affected districts over the reported period.","https://reliefweb.int/|https://www.reuters.com/markets/commodities/heavy-rains-trigger-landslides-bangladesh-2023-08-08/"
2023-08-15,national_holiday,"National Mourning Day","Government/National holiday","Nationwide",31.6,26.3,316.5,"Dhaka Aug climate normals","Commemorative events; public offices closed; not typically a strong consumption festival.","Mostly affects government services and official activities.","https://www.officeholidays.com/countries/bangladesh/2023"
2023-09-02,infrastructure_event,"Dhaka Elevated Expressway – Airport–Farmgate section opened","Transport infrastructure opening","Dhaka (north–central corridor)",31.6,25.9,300.4,"Dhaka Sep climate normals","Medium/long-term reduction of travel time on this corridor; potential improvement in freight reliability to/from airport and northern districts.","Create a post-2-Sep indicator for transport improvements affecting Dhaka corridor flows.","https://www.reuters.com/world/asia-pacific/bangladesh-opens-first-elevated-expressway-dhaka-2023-09-02/"
2023-09-06,religious_holiday,"Janmashtami","National holiday","Nationwide (esp. Hindu communities)",31.6,25.9,300.4,"Dhaka Sep climate normals","Temple visits and processions; localised congestion; some shops in Hindu areas closed.","Regional/segment-specific effect, especially on jewellery, sweets and garments.","https://calendarific.com/holiday/bangladesh/janmashtami|https://www.officeholidays.com/countries/bangladesh/2023"
2023-09-28,religious_holiday,"Eid-e-Miladunnabi (Mawlid)","National holiday","Nationwide",31.6,25.9,300.4,"Dhaka Sep climate normals","Religious gatherings and processions; some businesses closed; rainfall still relatively high.","Model as one-day religious holiday in late monsoon.","https://calendarific.com/holiday/bangladesh/mawlid|https://www.officeholidays.com/countries/bangladesh/2023"
2023-10-10,infrastructure_event,"Dhaka–Bhanga railway via Padma Bridge opened for passengers","Transport infrastructure opening","Dhaka to south-west (Bhanga, etc.)",31.6,23.8,172.3,"Dhaka Oct climate normals","New rail route potentially shifts some passenger and freight from road/ferry to rail; improves connectivity to south-western districts.","Add a post-10-Oct dummy for routes using the Padma corridor.","https://www.reuters.com/world/asia-pacific/bangladesh-opens-new-rail-line-across-padma-bridge-2023-10-10/"
2023-10-24,religious_cultural_holiday,"Durga Puja – Vijaya Dashami","National holiday / major Hindu festival","Nationwide (Hindu communities)",31.6,23.8,172.3,"Dhaka Oct climate normals","High festival spending on garments, gold, sweets and gifts; crowds near pandals; traffic diversions.","Treat as peak of a multi-day festival window (around 4–5 days) for demand analysis.","https://www.timeanddate.com/holidays/bangladesh/durga-puja|https://www.officeholidays.com/countries/bangladesh/2023"
2023-10-28,political_event,"BNP mass rally in Dhaka with violent clashes","Political rally & clashes","Dhaka city",31.6,23.8,172.3,"Dhaka Oct climate normals","Serious clashes with security forces; road blockages; urban commerce heavily disrupted for at least the day.","Add a one-day shock dummy; also consider spillover days before/after in Dhaka sales and logistics.","https://www.reuters.com/world/asia-pacific/bangladesh-opposition-holds-mass-rally-dhaka-2023-10-28/"
2023-10-29,political_event,"Start of nationwide blockades and hartals (late Oct–Nov)","Political blockades & strikes","Nationwide",29.7,19.5,30.0,"Dhaka Nov climate normals as average for period","Repeated road, rail and river blockades; major fall in truck movement; route cancellations; big economic loss estimates.","Model this as a multi-week protest/blockade regime (e.g., Oct 29–Nov 20) dummy rather than one day.","https://www.reuters.com/world/asia-pacific/bangladesh-opposition-calls-blockade-after-deadly-clashes-2023-10-29/|https://www.thedailystar.net/news/bangladesh/politics/news/blockade-hits-economy-hard-3442151"
2023-12-16,national_holiday,"Victory Day","Government/National holiday","Nationwide",26.4,14.1,12.8,"Dhaka Dec climate normals","Parades and official events; pleasant, dry weather; minimal weather-related disruptions.","Useful as national_holiday dummy in dry season.","https://www.officeholidays.com/countries/bangladesh/2023"
